path,kind,filename_score,read_status,fieldnames,row_count,slot_like_fields,pair_like_fields,route_like_fields,candidate_bridge
artifacts/json/g900_six_nine_package_support_field_law_001.v1.json,json,1,json_read,answer;audit_pass;bool_field_summary;boundary;checks;created_utc;failed_checks;field_law_reading;field_law_status;focused_schema_prior;git_head;hashes;next_allowed_math_acts;numeric_field_summary;question;row_counts;schema;six_nine_package_field_distribution;six_nine_package_rows;six_nine_step_field_distribution;six_nine_step_rows_first_80;status;step_field_contrasts;verdict;version,,,,six_nine_step_field_distribution;six_nine_step_rows_first_80;step_field_contrasts,True
artifacts/json/g900_six_nine_source_construction_contrast_filter_034.v1.json,json,1,json_read,audit_id;audit_pass;boundary;classification_counts;contrast_source_like_row_count;filter_status;neighboring_contrast_row_count;neighboring_contrasts_first_30;next_ascent_target;pair_counts;prior_033_inspection_status;prior_033_verdict;reading;source_like_endpoint_row_count;target_source_like_row_count;theory_claim;true_source_candidate_row_count;true_source_confidence_counts;true_source_contrast_artifact_counts_top_30;true_source_contrast_pair_counts;true_source_contrast_row_count;true_source_contrasts_first_50;true_source_pair_counts;true_source_target_row_count;true_source_targets_first_30;verdict,,,pair_counts;true_source_contrast_pair_counts;true_source_pair_counts,,True
artifacts/json/g900_six_nine_source_geometry_address_handle_039.v1.json,json,1,json_read,address_artifact_counts_top_20;address_exact_core;address_handle_contrast_count;address_handle_pair_counts;address_handle_row_count;address_handle_target_count;address_rows_first_30;audit_id;audit_pass;boundary;context_only_artifact_counts_top_20;context_only_handle_contrast_count;context_only_handle_pair_counts;context_only_handle_row_count;context_only_handle_target_count;context_only_is_surplus;context_only_rows_first_30;handle_status;next_ascent_target;path_decomposes_cleanly;path_handle_contrast_count;path_handle_pair_counts;path_handle_row_count;path_handle_target_count;prior_038_origin_status;prior_038_verdict;reading;theory_claim;true_source_contrast_row_count;true_source_row_count;true_source_target_row_count;verdict,,,address_handle_pair_counts;context_only_handle_pair_counts;path_handle_pair_counts,,True
artifacts/json/g900_six_nine_source_geometry_address_material_selector_040.v1.json,json,1,json_read,address_handle_pair_counts;address_handle_row_count;address_rows_first_20;audit_id;audit_pass;best_selector_vs_all;best_selector_vs_path_handle_shell;boundary;context_only_handle_row_count;context_only_pair_counts;context_only_rows_first_20;exact_material_selector_vs_all;exact_material_selector_vs_path_handle_shell;material_status;next_ascent_target;path_handle_row_count;prior_039_handle_status;prior_039_verdict;reading;selector_hit_count_vs_all;selector_hit_count_vs_path_handle_shell;theory_claim;true_source_row_count;verdict,,,address_handle_pair_counts;context_only_pair_counts,,True
artifacts/json/g900_six_nine_source_geometry_derivation_plateau_checkpoint_011.v1.json,json,1,json_read,audit_id;audit_pass;boundary;clean_negative_claim;earned_checks;earned_claim;input_count;keeper_lines;key_counts;loaded_input_count;missing_inputs;next_ascent_target;not_earned;plateau_status;repaired_008_note;verdict,,,repaired_008_note,,True
artifacts/json/g900_six_nine_source_geometry_packet_derivation_006.v1.json,json,1,json_read,anchor_values;artifact_counts_top_30;artifact_scan_count;audit_id;audit_pass;base_packet_checks;base_source_geometry_packet_hold_found;best_clean_ladder_selector_rule;boundary;branch_packet_checks;branch_value_family_hold_found;clean_ladder_selector_hold_found;clean_ladder_selector_rule_count;clean_ladder_selector_rules_first_20;deduped_foundation_row_count;derivation_status;foundation_rows_first_80;inside_moving_endpoint_values;ladder_values;next_ascent_target;outside_moving_endpoint_values;packet_field_count_distribution;phase_step_mod15_values;prior_004_exists;prior_004_verdict;prior_005_exists;prior_005_verdict;raw_foundation_row_count;source_endpoints_values;source_limit_start_values;source_side_gap_values;theory_claim;verdict,,,,base_source_geometry_packet_hold_found;branch_value_family_hold_found;clean_ladder_selector_hold_found;phase_step_mod15_values,True
artifacts/json/g900_six_nine_source_geometry_signature_origin_038.v1.json,json,1,json_read,audit_id;audit_pass;boundary;material_selected_contrast_count;material_selected_row_count;material_selected_target_count;material_signature;material_signature_exact_selector_found;material_signature_feature_count;next_ascent_target;origin_status;path_handle_contrast_count;path_handle_exact_selector_found;path_handle_pair_counts;path_handle_row_count;path_handle_rows_first_30;path_handle_target_count;prior_037_selector_status;prior_037_verdict;reading;selected_pair_counts;source_geometry_artifact_counts_top_20;source_geometry_contrast_count;source_geometry_origin_derivation_candidate_found;source_geometry_pair_counts;source_geometry_row_count;source_geometry_rows_first_30;source_geometry_target_count;strongest_target_only_family;theory_claim;true_source_contrast_row_count;true_source_row_count;true_source_target_row_count;verdict,,,path_handle_pair_counts;selected_pair_counts;source_geometry_pair_counts,,True
artifacts/json/g900_six_nine_source_like_endpoint_contrast_inspection_033.v1.json,json,1,json_read,artifact_counts_top_30;artifact_family_counts;audit_id;audit_pass;boundary;contrast_artifact_counts_top_30;contrast_artifact_family_counts;contrast_key_counts_top_30;contrast_pair_counts;contrast_rows_first_50;contrast_source_like_row_count;distinct_source_like_pair_count;excluded_meta_file_count;excluded_meta_files;inspection_status;key_counts_top_30;next_ascent_target;pair_counts;prior_031_scope_status;prior_031_verdict;prior_032_taxonomy_status;prior_032_verdict;reading;real_source_like_contrasts_found;scanned_file_count;source_like_endpoint_row_count;target_rows_first_30;target_source_like_row_count;theory_claim;verdict,,,contrast_pair_counts;distinct_source_like_pair_count;pair_counts,,True
artifacts/json/g900_six_nine_strong_packet_reflection_filter_050.v1.json,json,1,json_read,audit_id;audit_pass;boundary;exact_proposal_surface;exclusion_candidates_support_sample;filter_status;interpretive_frame;next_ascent_target;pair_exclusion_18_candidate_count;pair_exclusion_18_candidates_first_30;pair_retention_122_candidate_count;pair_retention_122_candidates_first_30;prior_049_verdict;proposal_surface_count;proposal_surface_rows_first_30;reading;reflection_filter_candidate_found;retention_candidates_support_sample;sample_row_count;single_exclusion_18_candidate_count;single_exclusion_18_candidates_first_30;single_retention_122_candidate_count;single_retention_122_candidates_first_30;source_005_sample_path;strong_source_packet_row_count_scalar;surface_sample_containment_count;theory_claim;verdict;visible_row_count,,,pair_exclusion_18_candidate_count;pair_exclusion_18_candidates_first_30;pair_retention_122_candidate_count;pair_retention_122_candidates_first_30,,True
artifacts/json/g900_six_nine_strong_packet_sample_predicate_microscope_049.v1.json,json,1,json_read,audit_id;audit_pass;boundary;common_feature_value_count;common_feature_values_first_80;exact_122_pair_predicates;exact_122_single_predicates;exact_visible_122_predicate_found;microscope_status;missing_rows_if_scalar_is_full_count;near_122_candidates_first_30;next_ascent_target;pair_predicate_scores_first_30;prior_047_verdict;prior_048_verdict;reading;sample_artifact_counts;sample_artifact_family_counts;sample_key_counts;sample_path;sample_row_count;sample_rows_first_20_compact;single_predicate_scores_first_30;skipped_files;source_name;strong_source_packet_row_count_scalar;theory_claim;verdict;visible_row_universe_count,,,exact_122_pair_predicates;pair_predicate_scores_first_30,,True
