path,candidate_transport,has_transport,has_information,has_return_cell,has_receipt,has_admitted
artifacts/json/g900_live_stage_marker_renderer_stub_001.v1.json,False,False,False,True,True,True
artifacts/json/g900_local_non_pair_identity_transition_length_law_001.v1.json,False,False,False,True,True,True
artifacts/json/g900_marker_debug_audit_gate_http_smoke_001.v1.json,False,False,False,False,True,True
artifacts/json/g900_marker_debug_http_smoke_001.v1.json,False,False,False,False,True,True
artifacts/json/g900_marker_debug_receipt_pack_001.v1.json,False,False,False,False,True,True
artifacts/json/g900_marker_debug_stepper_trail_http_smoke_001.v1.json,False,False,False,False,True,True
artifacts/json/g900_marker_development_pause_boundary_001.v1.json,False,False,False,False,True,True
artifacts/json/g900_marker_edge_index_audit_001.v1.json,False,False,False,False,True,True
artifacts/json/g900_marker_event_binding_contract_001.v1.json,False,False,False,True,True,True
artifacts/json/g900_marker_event_gate_recheck_001.v1.json,False,False,False,True,False,True
artifacts/json/g900_marker_layer_panel_stub_001.v1.json,False,False,False,False,True,False
artifacts/json/g900_marker_layer_panel_stub_http_smoke_001.v1.json,False,False,False,False,True,True
artifacts/json/g900_marker_path_resume_after_renderer_rollback_001.v1.json,False,False,False,True,True,True
artifacts/json/g900_marker_render_contract_001.v1.json,False,False,False,True,True,True
artifacts/json/g900_nearest_anchor_rule_all_source_gap_forks_audit_001.v1.json,False,True,False,False,True,False
artifacts/json/g900_p7_hinge_return_pocket_source_provenance_audit_001.v1.json,False,False,False,False,False,True
artifacts/json/g900_p7_interior_package_source_feature_audit_001.v1.json,False,False,False,False,False,True
artifacts/json/g900_p7_local_return_cell_closure_law_audit_001.v1.json,False,False,False,True,False,True
artifacts/json/g900_p7_local_return_cell_grammar_audit_001.v1.json,False,False,False,True,False,True
artifacts/json/g900_p7_rhythm_partition_uniqueness_audit_001.v1.json,False,False,False,False,False,True
artifacts/json/g900_p7_root_endpoint_rule_audit_001.v1.json,False,False,False,False,False,True
artifacts/json/g900_p7_transition_length_selector_audit_001.v1.json,False,False,False,False,False,True
artifacts/json/g900_p7_transition_weight_rhythm_audit_001.v1.json,False,False,False,False,False,True
artifacts/json/g900_pair_root_alignment_spectrum_audit_001.v1.json,False,True,False,False,True,True
artifacts/json/g900_pair_root_triplet_03_09_root9_audit_001.v1.json,False,True,False,False,True,True
artifacts/json/g900_phase3_distinct_ladder_condition_audit_001.v1.json,False,True,False,False,True,False
artifacts/json/g900_phase3_fork_ladder_family_audit_001.v1.json,False,True,False,False,True,False
artifacts/json/g900_phase3_other_ladder_comparison_001.v1.json,False,True,False,False,True,False
artifacts/json/g900_phase_transition_grammar_001.v1.json,False,False,False,False,False,True
artifacts/json/g900_post_channel_admission_integrity_audit_001.v1.json,False,False,False,True,True,True
artifacts/json/g900_post_stub_marker_event_gate_recheck_001.v1.json,False,False,False,True,True,True
artifacts/json/g900_predicted_frame_registry_03_09_vs_03_06_audit_001.v1.json,False,True,False,False,True,True
artifacts/json/g900_primary_slot_projection_census_001.v1.json,False,False,False,False,False,True
artifacts/json/g900_projection_exception_handles_001.v1.json,False,False,False,False,False,True
artifacts/json/g900_projection_exception_neighbor_contrast_001.v1.json,False,False,False,False,False,True
artifacts/json/g900_registered_trace_criterion_001.v1.json,False,True,False,False,True,True
artifacts/json/g900_registry_admission_condition_03_09_vs_03_06_001.v1.json,False,True,False,False,True,True
artifacts/json/g900_repeated_high_endpoint_nonclean_pocket_audit_001.v1.json,False,False,False,False,False,True
artifacts/json/g900_return_cell_bounded_information_transport_admission_007.v1.json,True,True,True,True,True,True
artifacts/json/g900_return_cell_carrier_incidence_packet_scout_002.v1.json,True,True,True,True,True,True
artifacts/json/g900_return_cell_channel_admission_criteria_001.v1.json,False,False,False,True,True,True
artifacts/json/g900_return_cell_channel_admission_gate_audit_004.v1.json,True,True,True,True,True,True
artifacts/json/g900_return_cell_conserved_packet_scout_001.v1.json,True,True,True,True,True,True
artifacts/json/g900_return_cell_cycle_event_contract_001.v1.json,False,False,False,True,True,True
artifacts/json/g900_return_cell_information_flux_witness_010.v1.json,True,True,True,True,True,True
artifacts/json/g900_return_cell_one_step_information_transport_support_audit_006.v1.json,True,True,True,True,True,True
artifacts/json/g900_return_cell_packet_successor_rule_scout_003.v1.json,False,True,True,True,False,True
artifacts/json/g900_return_cell_permission_channel_admission_005.v1.json,True,True,True,True,True,True
artifacts/json/g900_return_cell_selector_field_origin_audit_001.v1.json,False,False,False,True,False,True
