transport_path,read_status,rowlike_record_count,from_slot_set,to_slot_set,has_from_slot,has_to_slot,has_vertex_fields,has_edge_ids,has_home_candidate,metric_constructible
receipts/g900_transport_admission_hypothesis_provenance_audit_023.v1.json,json_read,0,,,False,False,False,False,False,False
receipts/g900_transport_candidate_family_census_014.v1.json,json_read,0,,,False,False,False,False,False,False
receipts/g900_transport_candidate_family_census_scaffold_013.v1.json,json_read,0,,,False,False,False,False,False,False
receipts/g900_transport_census_phase_checkpoint_017.v1.json,json_read,0,,,False,False,False,False,False,False
receipts/g900_transport_choice_apparatus_checkpoint_031.v1.json,json_read,0,,,False,False,False,False,False,False
receipts/g900_transport_choice_apparatus_theorem_note_032.v1.json,json_read,0,,,False,False,False,False,False,False
receipts/g900_transport_choice_construction_context_family_census_034.v1.json,json_read,0,,,False,False,False,False,False,False
receipts/g900_transport_choice_constructive_provenance_search_033.v1.json,json_read,0,,,False,False,False,False,False,False
receipts/g900_transport_choice_f0001_anchor_source_probe_051.v1.json,json_read,0,,,False,False,False,False,False,False
receipts/g900_transport_choice_f0001_fingerprint_cause_probe_040.v1.json,json_read,0,,,False,False,False,False,False,False
receipts/g900_transport_choice_f0001_generator_definition_flag_056.v1.json,json_read,0,,,False,False,False,False,False,False
receipts/g900_transport_choice_f0001_missing_prefix_edge_probe_037.v1.json,json_read,0,,,False,False,False,False,False,False
receipts/g900_transport_choice_f0001_permission_denial_probe_038.v1.json,json_read,0,,,False,False,False,False,False,False
receipts/g900_transport_choice_f0001_pre_role_seam_source_search_055.v1.json,json_read,0,,,False,False,False,False,False,False
receipts/g900_transport_choice_f0001_return_hub_seam_source_probe_054.v1.json,json_read,0,,,False,False,False,False,False,False
receipts/g900_transport_choice_f0001_root_smoke_generator_probe_045.v1.json,json_read,0,,,False,False,False,False,False,False
receipts/g900_transport_choice_f0001_root_smoke_signature_mechanism_probe_044.v1.json,json_read,0,,,False,False,False,False,False,False
receipts/g900_transport_choice_f0001_root_smoke_slot14_anatomy_046.v1.json,json_read,0,,,False,False,False,False,False,False
receipts/g900_transport_choice_f0001_seam_plateau_checkpoint_057.v1.json,json_read,0,,,False,False,False,False,False,False
receipts/g900_transport_choice_f0001_shell_cluster_rule_probe_042.v1.json,json_read,0,,,False,False,False,False,False,False
receipts/g900_transport_choice_f0001_shell_cluster_source_field_probe_043.v1.json,json_read,0,,,False,False,False,False,False,False
receipts/g900_transport_choice_f0001_shell_position_cause_probe_041.v1.json,json_read,0,,,False,False,False,False,False,False
receipts/g900_transport_choice_f0001_slot14_boundary14_origin_probe_048.v1.json,json_read,0,,,False,False,False,False,False,False
receipts/g900_transport_choice_f0001_slot14_boundary_carrier_choice_probe_049.v1.json,json_read,0,,,False,False,False,False,False,False
receipts/g900_transport_choice_f0001_slot14_edgehit18_origin_probe_047.v1.json,json_read,0,,,False,False,False,False,False,False
receipts/g900_transport_choice_f0001_slot14_hub_leaf_source_probe_050.v1.json,json_read,0,,,False,False,False,False,False,False
receipts/g900_transport_choice_f0001_source_rule_probe_036.v1.json,json_read,0,,,False,False,False,False,False,False
receipts/g900_transport_choice_f0001_strength_native_probe_052.v1.json,json_read,0,,,False,False,False,False,False,False
receipts/g900_transport_choice_f0001_visibility_source_anatomy_039.v1.json,json_read,0,,,False,False,False,False,False,False
receipts/g900_transport_choice_f0001_weak_incident_edge_probe_053.v1.json,json_read,0,,,False,False,False,False,False,False
receipts/g900_transport_choice_family_source_law_probe_035.v1.json,json_read,0,,,False,False,False,False,False,False
receipts/g900_transport_deferred_candidate_gate_audit_020.v1.json,json_read,0,,,False,False,False,False,False,False
